name,team,assits,goals,played,chances_created,chances_per90,total_passes,passes_complete,passes_incomplete,pass_accuracy
Kevin De Bruyne,Manchester City,6,2,10,16,1.6,341,265,76,78%
Vinícius Júnior,Real Madrid,5,7,12,13,1.08,406,327,79,81%
Federico Dimarco,Inter Milan,5,0,11,11,1,291,220,71,76%
Lionel Messi,Paris Saint Germain,4,4,7,15,2.14,396,346,50,87%
Leon Goretzka,Bayern Munich,4,2,9,5,0.56,308,272,36,88%
Khvicha Kvaratskhelia,Napoli,4,2,9,13,1.44,262,201,61,77%
Alejandro Grimaldo,Benfica,4,2,10,15,1.5,560,477,83,85%
Diogo Jota,Liverpool,4,0,6,8,1.33,92,73,19,79%
João Cancelo,"Manchester City, Bayern Munich",4,0,10,2,0.2,455,400,55,88%
Kylian Mbappé,Paris Saint Germain,3,7,8,5,0.63,256,206,50,80%
Giacomo Raspadori,Napoli,3,4,7,3,0.43,99,80,19,81%
Lautaro Martínez,Inter Milan,3,3,13,15,1.15,225,160,65,71%
Serge Gnabry,Bayern Munich,3,2,8,1,0.13,161,134,27,83%
Federico Valverde,Real Madrid,3,2,11,16,1.45,554,495,59,89%
Mohamed Simakan,RB Leipzig,3,1,7,4,0.57,287,216,71,75%
André-Frank Zambo Anguissa,Napoli,3,1,8,7,0.88,400,343,57,86%
Joshua Kimmich,Bayern Munich,3,1,9,17,1.89,658,600,58,91%
Rafael Leão,AC Milan,3,1,11,13,1.18,220,165,55,75%
Ángel Di María,Juventus,3,0,3,4,1.33,65,49,16,75%
Ivan Perisic,Tottenham Hotspur,3,0,7,7,1,188,141,47,75%
Alessandro Bastoni,Inter Milan,3,0,12,8,0.67,568,480,88,85%
Mohamed Salah,Liverpool,2,8,8,11,1.38,205,175,30,85%
João Mário,Benfica,2,6,10,13,1.3,473,418,55,88%
Mehdi Taremi,FC Porto,2,5,7,12,1.71,173,128,45,74%
